# Searching for station nr  7110 in ghcnm.tavg.v3.qca v3.3.0.20190817
# BREST                         (FRANCE)
# coordinates:  48.45N,   -4.42E,     103.0m (prob:   78m)
# WMO station code:  7110 BREST                         
# institution :: NOAA/NCEI
# source_url :: https://www.ncdc.noaa.gov/ghcnm/v3.php
# contact_email :: NCDC.GHCNM@noaa.gov.
# source_doi :: 10.7289/V5X34VDR accessed Tue May 10 08:42:28 UTC 2022
# references :: Durre, I., M.J. Menne, and R.S. Vose, 2008: Strategies for evaluating quality assurance procedures. Journal of Applied Meteorology and Climatology, 47(6), 1785-1791.\\nLawrimore, J. H., M. J. Menne, B. E. Gleason, C. N. Williams, D. B. Wuertz, R. S. Vose, and J. Rennie (2011), An overview of the Global Historical Climatology Network monthly mean temperature data set, version 3, J. Geophys. Res., 116, D19121, doi:10.1029/2011JD016187.
# station_name :: BREST
# station_country :: FRANCE
# station_code :: 7110
# latitude ::   48.45 degrees_north
# longitude ::   -4.42 degrees_east
# elevation ::    103.0 m
# climexp_url :: https://climexp.knmi.nl/gettemp.cgi?WMO=7110
# scripturl01 :: http://climexp.knmi.nl/gettemp.cgi?STATION=BREST&WMO=7110&id=someone@somewhere
# tavg [Celsius] daily mean temperature (adjusted) from GHCN-M v3.3.0.20190817
 1949    7.3    6.9    8.1   10.2   10.7   15.5 -999.9   17.5   15.8   13.6    8.6    7.8
 1950    5.8    8.1    8.6    8.8   12.3   15.7   16.0   15.6   13.7   11.4    8.7    4.6
 1951    6.9    5.8    6.6    8.3   11.0   14.5   15.9   14.9   15.0   11.3    9.8    8.0
 1952    5.5    5.1    8.6    9.9   13.3   14.4   15.9   16.3   12.5   11.5    7.6    6.3
 1953    4.4    4.9    7.4    9.0   12.7   13.3   15.2   16.4   14.2   12.0    9.5    9.9
 1954    6.0    5.6    8.1    8.4   11.1   13.1   13.8   14.6   14.0   13.4    9.3    8.8
 1955    6.2    5.0    4.5    9.7   10.9   14.4   16.7   18.6   15.0   10.8    8.6    9.5
 1956    6.9    0.6    7.9    7.7   11.3   12.6   15.3   13.8   14.9   11.5    8.3    8.0
 1957    6.9    8.0   10.9    9.3   11.0   14.7   16.1   15.8   13.9   12.5    7.9    6.4
 1958    6.4    8.2    6.5    8.1   11.8   13.7   15.1   15.5   15.8   11.9    8.7    6.8
 1959    6.0    6.5    8.8    9.9   12.1   14.3   16.7   16.8   16.5   13.8    9.1    8.4
 1960    6.6    6.1    9.2    9.2   13.1   15.7   14.9   15.3   13.8   11.6    9.7    6.1
